web-scraper-order,address_raw,datetime,rooms,area,luxurious,price_per_m2,lat,lon
1693998201-1,"Neuhusstrasse 6, 8630 Rüti ZH, ZH",2023-09-06 15:10:34,3.0,49.0,0,29.41,47.252166748046875,8.845797538757324
1693998201-2,"Zürcherstrasse 1, 8173 Neerach, ZH",2023-09-06 15:10:34,3.5,65.0,0,28.46,47.51333236694336,8.47485065460205
1693998201-4,"Cramerstrasse 8-12, 8004 Zürich, ZH",2023-09-06 15:10:34,2.0,54.0,0,89.87,,
1693998201-5,"Rotachstrasse 33, 8003 Zürich, ZH",2023-09-06 15:10:34,2.0,49.0,0,88.47,47.370792388916016,8.514747619628906
1693998201-16,"Wolframplatz 1, 8045 Zürich, ZH",2023-09-06 15:10:34,2.0,32.0,0,109.84,47.362281799316406,8.52219295501709
1693998205-25,"Badenerstrasse 67, 8953 Dietikon, ZH",2023-09-06 15:10:34,3.5,105.0,0,30.48,47.40792465209961,8.392560958862305
1693998205-26,"Frowiesstrasse 36, 8344 Bäretswil, ZH",2023-09-06 15:10:34,5.5,140.0,0,19.64,,
1693998205-27,"Kanzleistrasse 15, 8418 Schlatt ZH, ZH",2023-09-06 15:10:34,4.5,104.0,0,25.96,47.46413803100586,8.845952033996582
1693998205-29,"Bolletweg 14, 8934 Knonau, ZH",2023-09-06 15:10:34,5.5,150.0,0,22.6,47.226043701171875,8.46156120300293
1693998205-30,"Im Zauner 24, 8352 Elsau, ZH",2023-09-06 15:10:34,3.0,70.0,0,35.0,47.501670837402344,8.805103302001953
1693998205-32,"Maneggstrasse 87, 8041 Zürich, ZH",2023-09-06 15:10:34,3.5,98.0,0,31.85,47.337913513183594,8.520033836364746
1693998205-33,"Haldenstrasse 67, 8602 Wangen b. Dübendorf, ZH",2023-09-06 15:10:34,4.5,118.0,0,28.73,,
1693998205-34,"Hobelwerkweg 39a, 8404 Winterthur, ZH",2023-09-06 15:10:34,3.5,86.0,0,22.91,47.50949478149414,8.762660026550293
1693998205-35,"Hobelwerkweg 39a, 8404 Winterthur, ZH",2023-09-06 15:10:34,3.5,71.0,0,22.96,47.50949478149414,8.762660026550293
1693998205-36,"Albisriederstrasse 392a, 8047 Zürich, ZH",2023-09-06 15:10:34,5.5,192.0,0,25.83,47.37469482421875,8.482722282409668
1693998205-37,"Tisliacherstrasse 8, 8320 Fehraltorf, ZH",2023-09-06 15:10:34,5.5,166.0,0,21.08,47.383731842041016,8.760611534118652
